Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
,22,26,84.60,0_0,3_3,8_7,11_10,4_2,52,0
49ers,,,,,,,,,,
,30,32,93.80,0_0,9_9,10_10,10_9,3_2,55,0
Bears,,,,,,,,,,
,27,34,79.40,0_0,3_3,15_13,10_8,6_3,55,0
Bengals,,,,,,,,,,
,28,34,82.40,1_1,9_9,9_6,9_8,6_4,58,0
Bills,,,,,,,,,,
,28,35,80.00,0_0,6_6,5_4,8_8,16_10,58,2
Broncos,,,,,,,,,,
,19,24,79.20,0_0,5_5,6_4,12_10,1_0,46,1
Browns,,,,,,,,,,
,28,31,90.30,1_1,10_10,9_9,9_7,2_1,50,1
Buccaneers,,,,,,,,,,
,23,30,76.70,0_0,5_5,7_6,15_10,3_2,56,1
Cardinals,,,,,,,,,,
,24,33,72.70,0_0,8_8,6_6,13_8,6_2,53,1
Chargers,,,,,,,,,,
,25,27,92.60,2_2,7_7,9_9,5_3,4_4,58,0
Chiefs,,,,,,,,,,
,32,37,86.50,0_0,10_10,13_12,11_9,3_1,53,0
Colts,,,,,,,,,,
,34,41,82.90,1_1,5_5,13_13,13_12,9_3,59,0
Cowboys,,,,,,,,,,
,36,39,92.30,1_1,8_8,7_7,14_12,9_8,56,0
Dolphins,,,,,,,,,,
,14,19,73.70,0_0,3_1,6_6,5_5,5_2,54,0
Eagles,,,,,,,,,,
,38,40,95.00,0_0,11_11,12_11,9_8,8_8,54,0
Falcons,,,,,,,,,,
,27,34,79.40,0_0,5_5,8_7,17_13,4_2,51,0
Football Team,,,,,,,,,,
,31,32,96.90,0_0,4_4,13_13,9_9,6_5,55,0
Giants,,,,,,,,,,
,18,25,72.00,0_0,5_4,7_6,4_2,9_6,59,1
Jaguars,,,,,,,,,,
,21,28,75.00,0_0,7_6,10_9,6_3,5_3,55,2
Jets,,,,,,,,,,
,21,28,75.00,0_0,4_4,7_7,7_4,10_6,59,0
Lions,,,,,,,,,,
,16,16,100.00,1_1,1_1,5_5,5_5,4_4,57,0
Packers,,,,,,,,,,
,29,36,80.60,0_0,12_11,10_10,8_7,6_1,56,1
Panthers,,,,,,,,,,
,26,28,92.90,0_0,6_6,7_7,12_11,3_2,51,0
Patriots,,,,,,,,,,
,33,35,94.30,0_0,18_18,8_8,5_3,4_4,54,0
Raiders,,,,,,,,,,
,24,30,80.00,0_0,7_6,11_10,10_7,2_1,51,1
Rams,,,,,,,,,,
,26,29,89.70,0_0,8_8,7_6,9_9,5_3,55,0
Ravens,,,,,,,,,,
,23,28,82.10,0_0,6_5,10_10,9_7,3_1,53,0
Saints,,,,,,,,,,
,24,24,100.00,0_0,2_2,7_7,13_13,2_2,61,0
Seahawks,,,,,,,,,,
,23,24,95.80,0_0,6_6,7_7,10_9,1_1,59,0
Steelers,,,,,,,,,,
,27,31,87.10,0_0,8_8,9_9,8_6,6_4,54,0
Texans,,,,,,,,,,
,20,28,71.40,0_0,3_2,6_5,11_6,8_7,55,2
Titans,,,,,,,,,,
,15,22,68.20,0_0,6_6,4_3,7_4,5_2,53,0
Vikings,,,,,,,,,,
